epoch,CSR_GB_sum_y_exceeding_r_x_max,CSR_MP_count,CSR_MP_std,CSR_MP_sum_y_exceeding_r_x_max,CSR_NM_sum_y_exceeding_r_x_max,CSR_PM_std,CSR_PM_sum_y_exceeding_r_x_max,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,self.CSR_GB_count,self.CSR_NM_count,self.CSR_PM_count,val_loss,val_non_zero_mse
0,9999,9030,35.98996598372550,3.9696569863083900,0,963.4701125005820,808.7069213732000,3669.481689453130,1160.713917486810,3413.7344377389100,12876.2197265625,-1,-1,9030,2973.841552734380,10419.7109375
1,9999,9030,47.20642938593950,6.869701302698420,0,963.4701125005820,808.7069213732000,1300.9774169921900,1161.9265443317500,3417.8304974623700,4147.1181640625,-1,-1,9030,1359.2471923828100,4494.5576171875
2,9999,9030,91.35224304315180,16.649598286285200,0,963.4701125005820,808.7069213732000,1108.5902099609400,1168.2729604072200,3438.2585015830100,3492.322509765630,-1,-1,9030,991.2177734375,3100.97314453125
3,9999,9030,118.86572942690100,29.326953757614500,0,963.4701125005820,808.7069213732000,1048.765625,1161.8573859703800,3418.8784074981600,3284.1240234375,-1,-1,9030,889.6637573242190,2754.24560546875
4,9999,9030,98.46395118233040,18.34029849776930,0,963.4701125005820,808.7069213732000,987.42822265625,1163.541165996970,3427.51634565147,3063.717529296880,-1,-1,9030,1024.11279296875,3305.186279296880
5,9999,9030,141.81587896570700,36.35446061728930,0,963.4701125005820,808.7069213732000,955.7203979492190,1161.2133021521500,3420.631604185530,2936.369384765630,-1,-1,9030,805.2398071289060,2398.671142578130
6,9999,9030,126.86520132682600,29.679436078604900,0,963.4701125005820,808.7069213732000,909.8325805664060,1161.028908949830,3413.50316321688,2791.80908203125,-1,-1,9030,1036.12646484375,3375.906005859380
7,9999,9030,169.61727831312700,46.0892931531038,0,963.4701125005820,808.7069213732000,878.8992309570310,1161.0795107852000,3418.8005188910400,2662.618896484380,-1,-1,9030,827.7734375,2382.6240234375
8,9999,9030,155.49284193530700,38.02298325098230,0,963.4701125005820,808.7069213732000,831.3624877929690,1159.2154877537500,3413.808192654470,2501.18115234375,-1,-1,9030,750.3709106445310,2163.43798828125
9,9999,9030,175.13205794937400,47.96632939975460,0,963.4701125005820,808.7069213732000,830.1776123046880,1161.2033357288600,3415.6341282083200,2517.098388671880,-1,-1,9030,752.6206665039060,2207.35205078125
10,9999,9030,192.82156279095400,52.08039609146280,0,963.4701125005820,808.7069213732000,776.4467163085940,1160.2930636748800,3412.4942781814100,2329.532470703130,-1,-1,9030,711.0934448242190,2135.64990234375
11,9999,9030,203.20653760772200,57.86733211150040,0,963.4701125005820,808.7069213732000,759.78759765625,1160.9322928247200,3411.5157475033300,2271.26904296875,-1,-1,9030,736.8077392578130,2182.315185546880
12,9999,9030,208.53657119516400,61.461594802913500,0,963.4701125005820,808.7069213732000,749.618408203125,1166.825584881590,3440.4356909836000,2241.387939453130,-1,-1,9030,711.6409301757810,2085.82421875
13,9999,9030,196.4474334789760,51.98178583848250,0,963.4701125005820,808.7069213732000,748.43017578125,1158.8735052044500,3409.6372336372500,2247.1806640625,-1,-1,9030,748.1835327148440,2262.33984375
14,9999,9030,177.74245699015500,42.23451716869430,0,963.4701125005820,808.7069213732000,734.4434814453130,1161.5427087601100,3419.433104370900,2201.564208984380,-1,-1,9030,990.0269775390630,3268.949951171880
15,9999,9030,232.2392646619770,65.24898927420350,0,963.4701125005820,808.7069213732000,726.7052612304690,1169.1337765148800,3442.3554171163600,2189.153076171880,-1,-1,9030,704.946533203125,2140.962890625
16,9999,9030,283.02244115187600,86.57970742595490,0,963.4701125005820,808.7069213732000,699.7732543945310,1161.386577528640,3414.7423969433800,2086.16259765625,-1,-1,9030,838.6209716796880,2470.58935546875
