cityname,i_o_length,prediction_horizon,grid_size,time_stamp,MSE_train
london,4,1,55,4077,987.2585170012889
london,4,1,55,2241,381.8909888379843
london,4,1,55,9425,866.8363958730424
london,4,1,55,504,1101.5941093955216
london,4,1,55,1560,189.7833354498663
london,4,1,55,2931,404.1759906142887
london,4,1,55,3281,286.2490892178254
london,4,1,55,736,729.784134630002
london,4,1,55,5804,728.8771565506986
london,4,1,55,2010,844.8994648058001
london,4,1,55,7981,7655.562041810966
london,4,1,55,998,867.4229373805026
london,4,1,55,3137,930.8332888442735
london,4,1,55,2561,1103.2839438517465
london,4,1,55,1671,1154.3566243051257
london,4,1,55,9235,868.5838103422526
london,4,1,55,3764,1308.6557293268093
london,4,1,55,4974,1042.2149688294983
london,4,1,55,5888,1524.1753281764475
london,4,1,55,9080,739.2165310655353
london,4,1,55,6731,1200.8747077564194
london,4,1,55,8514,625.4254613153573
london,4,1,55,2199,992.7822233493779
london,4,1,55,7449,1035.2928110621249
london,4,1,55,4869,1454.4138564596858
london,4,1,55,5581,1244.1382148210748
london,4,1,55,7921,404.5649575694798
london,4,1,55,6882,264.287716947874
london,4,1,55,8140,187.41413595753733
london,4,1,55,7853,1290.4204714707553
london,4,1,55,1880,1120.402425682639
london,4,1,55,12,20.449302865243922
london,4,1,55,3711,245.13205030458926
london,4,1,55,289,746.4994378442846
london,4,1,55,158,1238.3139550678004
london,4,1,55,8628,1162.196587130249
london,4,1,55,6974,75.24488813297701
london,4,1,55,1995,1480.0699864153305
london,4,1,55,2046,1019.4943601956811
london,4,1,55,1305,670.9035028799013
london,4,1,55,2633,963.1901668333662
london,4,1,55,2914,937.4237772811488
london,4,1,55,5170,305.99811419885765
london,4,1,55,262,151.8670661925908
london,4,1,55,3258,1130.8765673462415
london,4,1,55,7072,553.6715665359047
london,4,1,55,3288,4748.507752642239
london,4,1,55,3964,168.31186965209417
london,4,1,55,2514,4880.368580638373
london,4,1,55,539,737.1118887291858
london,4,1,55,5167,332.44608608020985
london,4,1,55,4548,973.4840294797393
london,4,1,55,2580,738.8152858785974
london,4,1,55,3199,1565.583103004785
london,4,1,55,4736,537.0855965409214
london,4,1,55,2674,10.321160172686856
london,4,1,55,4655,495.49129144540905
london,4,1,55,3220,925.5017167389697
london,4,1,55,5296,240.79011781133778
london,4,1,55,1479,1544.2991463106657
london,4,1,55,4292,1068.0231701196756
london,4,1,55,3698,678.1687283869638
london,4,1,55,7191,976.0355074021932
london,4,1,55,2896,854.3751025854858
london,4,1,55,7348,886.0369078526757
london,4,1,55,562,625.9858259562616
london,4,1,55,5799,1009.2391263615186
london,4,1,55,8191,4340.8319381190195
london,4,1,55,876,3227.189113970037
london,4,1,55,3166,1026.4530030471387
london,4,1,55,9314,1646.8210644674498
london,4,1,55,5333,112.41745575845877
london,4,1,55,8982,1074.3825425235011
london,4,1,55,840,886.5678435956465
london,4,1,55,4254,931.2246262444093
london,4,1,55,8596,1062.1654550927176
london,4,1,55,7949,929.1511345180189
london,4,1,55,7185,764.9229496473077
london,4,1,55,2290,911.9031161814081
london,4,1,55,2880,1002.2145485741593
london,4,1,55,3950,1004.3469533182886
london,4,1,55,4118,952.6350712402948
london,4,1,55,8572,989.690865669342
london,4,1,55,9269,1002.8902845194
london,4,1,55,566,753.6120057661362
london,4,1,55,2410,188.4496246903558
london,4,1,55,3064,1132.9978714728315
london,4,1,55,1027,1220.6958464148051
london,4,1,55,384,840.8555816129261
london,4,1,55,4570,289.0379275317801
london,4,1,55,1215,167.72792319313513
london,4,1,55,2116,822.4349737804956
london,4,1,55,2522,990.1751666245386
london,4,1,55,4802,921.0192613273175
london,4,1,55,7539,1011.0650914839879
london,4,1,55,9393,3306.702249940639
london,4,1,55,4614,1082.1556441679193
london,4,1,55,3850,850.0414375261804
london,4,1,55,3194,230.00322867363184
london,4,1,55,3887,1868.6018255944975
london,4,1,55,3440,842.1482810494238
london,4,1,55,1756,1174.9860797199553
london,4,1,55,2969,968.5977327116498
london,4,1,55,6679,952.5790997895158
london,4,1,55,5746,924.5747811731832
london,4,1,55,4232,2704.8685494858564
london,4,1,55,4064,1313.170144386483
london,4,1,55,378,1140.471589016745
london,4,1,55,2905,848.3315148582035
london,4,1,55,7536,953.556047807861
london,4,1,55,8113,164.89193977684292
london,4,1,55,4308,122.36796304011298
london,4,1,55,4588,720.7483461160703
london,4,1,55,2099,828.9947690082515
london,4,1,55,3306,938.6552747425243
london,4,1,55,2951,911.7311845336965
london,4,1,55,5041,1080.338581282026
london,4,1,55,1874,925.8358280676022
london,4,1,55,4325,1876.1087120701884
london,4,1,55,3501,997.5880074662576
london,4,1,55,9275,1183.179022301012
london,4,1,55,8575,1046.8931253930402
london,4,1,55,332,1150.0202581615547
london,4,1,55,9051,4343.556956295729
london,4,1,55,9319,833.8547815889488
london,4,1,55,4419,1271.8418031748527
london,4,1,55,3431,1153.6578119666635
london,4,1,55,1131,204.429663074716
london,4,1,55,6971,152.8208097362948
london,4,1,55,2096,898.5557158708909
london,4,1,55,3106,129.6567855604485
london,4,1,55,1763,959.6073829420117
london,4,1,55,5927,916.7508572069162
london,4,1,55,1269,788.6207998532172
london,4,1,55,6912,596.0743173247108
london,4,1,55,2930,420.94721444460646
london,4,1,55,6778,1142.5281329110053
london,4,1,55,2862,1605.3958005481743
london,4,1,55,5872,1107.4462303247235
london,4,1,55,9183,1179.2333871496494
london,4,1,55,2559,1097.9821919125948
london,4,1,55,6322,962.4907477133527
london,4,1,55,5890,1241.2997101094777
london,4,1,55,5482,1016.1632753723552
london,4,1,55,1897,125.39381868441728
london,4,1,55,1714,966.7411841742799
london,4,1,55,5049,1111.9782997079374
london,4,1,55,80,47.03541983406049
london,4,1,55,1116,853.2217647096804
london,4,1,55,1329,939.9925021437018
london,4,1,55,8786,343.4133551054105
london,4,1,55,3985,897.5206678884738
london,4,1,55,580,774.4697532474754
london,4,1,55,7710,876.2434782497567
london,4,1,55,8569,1117.9012519922153
london,4,1,55,3948,1053.6516721605592
london,4,1,55,2850,238.40022363960523
london,4,1,55,5094,4148.429435015098
london,4,1,55,5889,1644.7275015162745
london,4,1,55,4244,933.5698244575731
london,4,1,55,40,84.91347623631601
london,4,1,55,8933,1111.0674329188698
london,4,1,55,8450,4077.28221697451
london,4,1,55,7379,926.0147852032792
london,4,1,55,2736,137.55049131451844
london,4,1,55,6685,1084.4964391134617
london,4,1,55,6150,940.1929126952664
london,4,1,55,2714,158.7327258313817
london,4,1,55,4007,939.7860220213322
london,4,1,55,2303,1019.0295652929659
london,4,1,55,4112,767.184065247779
london,4,1,55,956,204.08559561029065
london,4,1,55,6005,1105.730138196151
london,4,1,55,9458,737.3569149962896
london,4,1,55,6135,622.0452748139855
london,4,1,55,4005,744.871663932216
london,4,1,55,4412,1756.2190569063134
london,4,1,55,1792,1060.2051722264519
london,4,1,55,2217,1631.655311315559
london,4,1,55,5350,40.75036391572137
london,4,1,55,884,828.3734070323808
london,4,1,55,4455,994.0964841103298
london,4,1,55,1962,1158.5475867276332
london,4,1,55,4971,956.4710576117058
london,4,1,55,4968,1129.6555712754155
london,4,1,55,2075,183.1796561314484
london,4,1,55,5569,1204.1902733800166
london,4,1,55,7088,1661.3922826744786
london,4,1,55,6915,1106.5341318578576
london,4,1,55,1121,1498.8079183614248
london,4,1,55,1480,2434.0004681104774
london,4,1,55,6640,622.2228115092976
london,4,1,55,8602,176.67365297438803
london,4,1,55,757,1012.1506772525734
london,4,1,55,3332,1178.4205984654336
london,4,1,55,7859,956.7333157987008
london,4,1,55,6334,938.1546581117045
london,4,1,55,4531,1060.8756070600755
london,4,1,55,5447,845.5462017274149
london,4,1,55,8485,1041.4025322911705
london,4,1,55,243,1023.5982118792897
london,4,1,55,996,1054.3293579552442
london,4,1,55,5584,904.4540869707719
london,4,1,55,5409,114.1559707007542
london,4,1,55,900,853.7366875700817
london,4,1,55,8704,2655.0014995736187
london,4,1,55,4141,289.3030513657426
london,4,1,55,6655,500.7856530615243
london,4,1,55,5326,73.33907962161521
london,4,1,55,4764,1664.5731422764272
london,4,1,55,4222,141.82073996299638
london,4,1,55,5003,636.4263920246165
london,4,1,55,4836,4228.630081808714
london,4,1,55,2885,1052.7517159296438
london,4,1,55,4061,728.9704402186222
london,4,1,55,611,195.44493256825982
london,4,1,55,3520,901.5217793887649
london,4,1,55,4789,1199.0934109095585
london,4,1,55,6297,400.8033999599246
london,4,1,55,6575,1181.3209117064707
london,4,1,55,5693,1641.5681819977167
london,4,1,55,3702,203.69631583483982
london,4,1,55,408,1295.5848624857492
london,4,1,55,4457,981.6916770160805
london,4,1,55,7143,281.34794438263975
london,4,1,55,8618,2498.1639590750005
london,4,1,55,8318,906.5562043731722
london,4,1,55,3202,4447.517028350838
london,4,1,55,3691,946.9907798986698
london,4,1,55,3683,961.1595754602514
london,4,1,55,7578,354.6594137496542
london,4,1,55,496,718.5204677480201
london,4,1,55,4348,736.4682511722913
london,4,1,55,9056,1662.1962016310044
london,4,1,55,2038,1222.7032942180754
london,4,1,55,3766,1322.6053442524606
london,4,1,55,7509,1202.8260805878838
london,4,1,55,765,935.9171203081709
london,4,1,55,435,271.28708762110426
london,4,1,55,7847,4470.7121947876985
london,4,1,55,5583,868.1623092313179
london,4,1,55,111,878.2716806328679
london,4,1,55,655,855.9252961050769
london,4,1,55,8995,880.0866983951206
london,4,1,55,9152,930.2592950061388
london,4,1,55,9105,1550.548481882729
london,4,1,55,7342,812.1608694174505
london,4,1,55,744,1008.3503391572552
london,4,1,55,917,1066.2676150296982
london,4,1,55,442,249.8190272368757
london,4,1,55,7830,170.07172715575047
london,4,1,55,8031,1009.2781407516588
london,4,1,55,5119,691.8711833793976
london,4,1,55,6459,251.67473885456354
london,4,1,55,8541,1502.6007522056418
london,4,1,55,9366,906.0645824637269
london,4,1,55,8370,954.6749335986133
london,4,1,55,3989,866.791688486911
london,4,1,55,8272,227.0814351602648
london,4,1,55,8153,127.12379657718796
london,4,1,55,5812,904.3731104560816
london,4,1,55,8598,946.9668807316491
london,4,1,55,5945,346.18440167757325
london,4,1,55,8878,881.868695743278
london,4,1,55,4506,1060.3290751496634
london,4,1,55,8819,874.0235035226676
london,4,1,55,8178,278.8676534237313
london,4,1,55,3070,1350.6724340292105
london,4,1,55,6888,157.14632639410948
london,4,1,55,1508,581.638423846838
london,4,1,55,4867,1030.3316363846252
london,4,1,55,4743,351.14546692955264
london,4,1,55,2078,296.59774759937306
london,4,1,55,6930,622.9974903888977
london,4,1,55,6209,170.9225112417987
london,4,1,55,4357,1026.597898614439
london,4,1,55,1609,1237.5437171768572
london,4,1,55,4637,990.2630364279973
london,4,1,55,9211,112.24901237015203
london,4,1,55,8207,914.6947918601525
london,4,1,55,6280,440.3842421509551
london,4,1,55,4055,263.56038395869314
london,4,1,55,1103,806.1071928239494
london,4,1,55,9221,3474.3925194051303
london,4,1,55,4559,690.9425869718121
london,4,1,55,943,736.8572350501668
london,4,1,55,6172,721.7522647668474
london,4,1,55,2312,810.6449999451896
london,4,1,55,1977,807.3713384425154
london,4,1,55,76,186.31859720577393
london,4,1,55,333,1073.0117071605584
london,4,1,55,4367,1300.0849275727421
london,4,1,55,3756,1045.9567876314359
london,4,1,55,1887,818.1515346920763
london,4,1,55,156,1126.2565324010081
london,4,1,55,6006,1054.7116995844892
london,4,1,55,1666,917.0911832017003
london,4,1,55,7725,783.2992271131636
london,4,1,55,8754,968.9492316072265
london,4,1,55,3629,1911.5975778885143
london,4,1,55,8948,522.7170384300258
london,4,1,55,5612,3580.1992691420946
london,4,1,55,7804,1183.6684043711896
london,4,1,55,2320,718.1219272421748
london,4,1,55,2041,1103.2602020013212
london,4,1,55,9132,1129.0567916641205
london,4,1,55,7844,2855.503849255638
london,4,1,55,6674,939.1914333153627
london,4,1,55,23,161.52637125944034
london,4,1,55,2864,1262.8559354571717
london,4,1,55,1894,209.9358903565045
london,4,1,55,1295,121.12475681458517
london,4,1,55,2876,1010.8124892381288
london,4,1,55,9160,815.7781408043513
london,4,1,55,4495,3239.5014537047246
london,4,1,55,8795,3092.8875619102755
london,4,1,55,2343,725.5285400605925
london,4,1,55,6258,761.0872282577583
london,4,1,55,5399,115.11851750661499
london,4,1,55,2566,1001.3280319764059
london,4,1,55,1799,889.1482938388516
london,4,1,55,725,870.1675860279976
london,4,1,55,7781,1316.4715646522677
london,4,1,55,4617,952.4042797946321
london,4,1,55,294,862.2890759160508
london,4,1,55,7882,1150.9494789228306
london,4,1,55,4072,1449.216414906152
london,4,1,55,5885,1365.2300423051743
london,4,1,55,1893,240.5849487741299
london,4,1,55,4114,922.8810957440555
london,4,1,55,1098,781.6427907166072
london,4,1,55,898,728.2283991698475
london,4,1,55,4563,647.742819469616
london,4,1,55,3178,874.6462227983963
london,4,1,55,972,818.1393157116947
london,4,1,55,5117,759.2345682928121
london,4,1,55,4343,880.4931938725722
london,4,1,55,165,785.8818353877181
london,4,1,55,7720,825.0592023746527
london,4,1,55,5275,174.2031061889363
london,4,1,55,4893,1312.0119975933962
london,4,1,55,1151,1854.6920359026997
london,4,1,55,6849,635.4033164614439
london,4,1,55,2373,761.1052580708085
london,4,1,55,6469,611.5458968387741
