cityname,i_o_length,prediction_horizon,grid_size,time_stamp,IC_temp
london,4,1,55,6867,4762.0
london,4,1,55,5586,0
london,4,1,55,8862,0
london,4,1,55,7621,0
london,4,1,55,8098,62783.0
london,4,1,55,8681,3900.0
london,4,1,55,7475,0
london,4,1,55,753,53213.0
london,4,1,55,3019,3687.0
london,4,1,55,2738,0
london,4,1,55,5083,12648.0
london,4,1,55,8341,0
london,4,1,55,5705,0
london,4,1,55,9016,0
london,4,1,55,863,0
london,4,1,55,2210,29173.0
london,4,1,55,712,0
london,4,1,55,7657,0
london,4,1,55,2791,11891.0
london,4,1,55,3992,0
london,4,1,55,3198,12869.0
london,4,1,55,2056,13059.0
london,4,1,55,7422,0
london,4,1,55,6780,50031.0
london,4,1,55,1285,0
london,4,1,55,6091,0
london,4,1,55,8408,0
london,4,1,55,3341,0
london,4,1,55,2771,0
london,4,1,55,2030,0
london,4,1,55,3511,2407.0
london,4,1,55,6146,0
london,4,1,55,2345,14579.0
london,4,1,55,5271,0
london,4,1,55,2366,0
london,4,1,55,1980,79072.0
london,4,1,55,2592,0
london,4,1,55,7430,0
london,4,1,55,2964,8950.0
london,4,1,55,7786,990.0
london,4,1,55,5911,0
london,4,1,55,1171,0
london,4,1,55,6341,0
london,4,1,55,8,0
london,4,1,55,6545,0
london,4,1,55,7309,0
london,4,1,55,7522,0
london,4,1,55,5242,0
london,4,1,55,5587,0
london,4,1,55,6574,14418.0
london,4,1,55,5285,59539.0
london,4,1,55,3391,0
london,4,1,55,3078,2405.0
london,4,1,55,131,2360.0
london,4,1,55,1749,0
london,4,1,55,6432,14535.0
london,4,1,55,676,89434.0
london,4,1,55,5089,5130.0
london,4,1,55,7145,1920.0
london,4,1,55,4973,6485.0
london,4,1,55,5017,0
london,4,1,55,7564,0
london,4,1,55,2347,4647.0
london,4,1,55,3778,0
london,4,1,55,6211,13914.0
london,4,1,55,2180,62700.0
london,4,1,55,2784,1564.0
london,4,1,55,441,0
london,4,1,55,94,0
london,4,1,55,1024,0
london,4,1,55,4890,0
london,4,1,55,8503,0
london,4,1,55,8555,0
london,4,1,55,6630,5323.0
london,4,1,55,6272,0
london,4,1,55,1348,0
london,4,1,55,2907,0
london,4,1,55,5514,19464.0
london,4,1,55,4452,5966.0
london,4,1,55,4141,0
london,4,1,55,4274,0
london,4,1,55,2858,0
london,4,1,55,130,1180.0
london,4,1,55,4854,8020.0
london,4,1,55,229,0
london,4,1,55,4730,0
london,4,1,55,4554,0
london,4,1,55,1469,0
london,4,1,55,5513,34210.0
london,4,1,55,4263,0
london,4,1,55,2521,0
london,4,1,55,865,0
london,4,1,55,5762,3686.0
london,4,1,55,5796,0
london,4,1,55,1951,0
london,4,1,55,5268,0
london,4,1,55,5606,19653.0
london,4,1,55,4638,0
london,4,1,55,5675,1339.0
london,4,1,55,6058,0
london,4,1,55,3733,15077.0
london,4,1,55,856,0
london,4,1,55,4083,11511.0
london,4,1,55,3860,0
london,4,1,55,6586,14886.0
london,4,1,55,2866,0
london,4,1,55,8210,2702.0
london,4,1,55,3738,0
london,4,1,55,7323,20172.5
london,4,1,55,7909,0
london,4,1,55,1553,4804.0
london,4,1,55,2900,0
london,4,1,55,6327,0
london,4,1,55,6557,21396.0
london,4,1,55,1046,0
london,4,1,55,3706,6254.0
london,4,1,55,6732,29430.0
london,4,1,55,552,12868.0
london,4,1,55,7279,37665.0
london,4,1,55,282,3433.0
london,4,1,55,2884,0
london,4,1,55,5806,0
london,4,1,55,4219,7159.0
