BN/noBN, ph, mu, np.std[13:], np.min[13:], np.max(13:)
BN,1,672.4230281490752,306.7036146185816,111.76033760473727,1214.8135605638313,
No-BN,1,658.1623766891813,375.0409879360319,230.5719309340536,1707.304508896981,
BN,2,836.7472746362116,334.55658061484064,163.51015332808066,1513.3335714880686,
No-BN,2,716.3738578170427,466.00734136363417,246.03045572406444,1986.7093189141704,
BN,3,894.6984816244712,258.59089489728194,552.246274624811,1476.4162150578316,
No-BN,3,740.958227507633,329.0437025968088,226.7124520293276,1283.379963788563,
BN,4,924.3922184217423,278.00585533797806,490.3539857588253,1563.9030447974928,
No-BN,4,1087.8291432547996,652.4466785058595,254.8774065336476,2990.9631865835254,
