BN/noBN, ph, mu, np.std[:13], np.min[:13], np.max(:13)
BN,1,315.16214884982134,305.00657551073743,0.0,1034.6418389036303,
No-BN,1,615.2249717624268,386.44659401280853,289.12454188510367,1479.3960286172237,
BN,2,185.9375440066265,135.64145087401874,0.0,426.9944154214538,
No-BN,2,372.53411796675414,237.42147967403417,55.70708813051748,805.3517915011121,
BN,3,299.5268269078535,289.6710384115232,0.0,1078.5362484041589,
No-BN,3,497.10901058784896,284.58802654316395,109.99719416290904,980.0066113764838,
BN,4,356.58811772063666,260.8722619984381,0.0,754.5745297804858,
No-BN,4,604.2699511234745,191.73051784085098,287.10542003134367,958.845311365645,
