cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,,
london,1,4,85,3500,800,40,0.705,564,NULL,NULL,NULL,NULL
london,1,4,105,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,1,4,105,200,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,1,4,105,400,800,40,0.025,20,NULL,NULL,NULL,NULL
london,1,4,105,600,800,40,0.04,32,NULL,NULL,NULL,NULL
london,1,4,105,800,800,40,0.11875,95,NULL,NULL,NULL,NULL
london,1,4,105,1100,800,40,0.475,380,NULL,NULL,NULL,NULL
london,1,4,105,1300,800,40,0.71875,575,NULL,NULL,NULL,NULL
london,1,4,105,1500,800,40,0.83125,665,NULL,NULL,NULL,NULL
london,1,4,105,2000,800,40,0.8725,698,NULL,NULL,NULL,NULL
london,1,4,105,2500,800,40,0.86125,689,NULL,NULL,NULL,NULL
london,1,4,105,3000,800,40,0.795,636,NULL,NULL,NULL,NULL
london,1,4,105,3500,800,40,0.6975,558,NULL,NULL,NULL,NULL
madrid,1,4,25,100,800,40,0.00125,1,NULL,NULL,NULL,NULL
madrid,1,4,25,200,800,40,0.0625,50,NULL,NULL,NULL,NULL
madrid,1,4,25,400,800,40,0.1725,138,NULL,NULL,NULL,NULL
madrid,1,4,25,600,800,40,0.26,208,NULL,NULL,NULL,NULL
madrid,1,4,25,800,800,40,0.35875,287,NULL,NULL,NULL,NULL
madrid,1,4,25,1100,800,40,0.57125,457,NULL,NULL,NULL,NULL
madrid,1,4,25,1300,800,40,0.6875,550,NULL,NULL,NULL,NULL
madrid,1,4,25,1500,800,40,0.785,628,NULL,NULL,NULL,NULL
madrid,1,4,25,2000,800,40,0.88,704,NULL,NULL,NULL,NULL
madrid,1,4,25,2500,800,40,0.875,700,NULL,NULL,NULL,NULL
madrid,1,4,25,3000,800,40,0.8,640,NULL,NULL,NULL,NULL
madrid,1,4,25,3500,800,40,0.6375,510,NULL,NULL,NULL,NULL
madrid,1,4,35,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
madrid,1,4,35,200,800,40,0.02625,21,NULL,NULL,NULL,NULL
madrid,1,4,35,400,800,40,0.09625,77,NULL,NULL,NULL,NULL
madrid,1,4,35,600,800,40,0.1575,126,NULL,NULL,NULL,NULL
madrid,1,4,35,800,800,40,0.22,176,NULL,NULL,NULL,NULL
madrid,1,4,35,1100,800,40,0.3575,286,NULL,NULL,NULL,NULL
madrid,1,4,35,1300,800,40,0.43875,351,NULL,NULL,NULL,NULL
madrid,1,4,35,1500,800,40,0.57875,463,NULL,NULL,NULL,NULL
madrid,1,4,35,2000,800,40,0.7375,590,NULL,NULL,NULL,NULL
madrid,1,4,35,2500,800,40,0.7825,626,NULL,NULL,NULL,NULL
madrid,1,4,35,3000,800,40,0.76125,609,NULL,NULL,NULL,NULL
madrid,1,4,35,3500,800,40,0.69,552,NULL,NULL,NULL,NULL
madrid,1,4,45,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
madrid,1,4,45,200,800,40,0.01375,11,NULL,NULL,NULL,NULL
madrid,1,4,45,400,800,40,0.07,56,NULL,NULL,NULL,NULL
madrid,1,4,45,600,800,40,0.14375,115,NULL,NULL,NULL,NULL
madrid,1,4,45,800,800,40,0.175,140,NULL,NULL,NULL,NULL
madrid,1,4,45,1100,800,40,0.295,236,NULL,NULL,NULL,NULL
madrid,1,4,45,1300,800,40,0.37125,297,NULL,NULL,NULL,NULL
madrid,1,4,45,1500,800,40,0.4575,366,NULL,NULL,NULL,NULL
madrid,1,4,45,2000,800,40,0.67125,537,NULL,NULL,NULL,NULL
madrid,1,4,45,2500,800,40,0.75,600,NULL,NULL,NULL,NULL
madrid,1,4,45,3000,800,40,0.74125,593,NULL,NULL,NULL,NULL
madrid,1,4,45,3500,800,40,0.68875,551,NULL,NULL,NULL,NULL
madrid,1,4,55,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
madrid,1,4,55,200,800,40,0.00375,3,NULL,NULL,NULL,NULL
madrid,1,4,55,400,800,40,0.04625,37,NULL,NULL,NULL,NULL
madrid,1,4,55,600,800,40,0.0825,66,NULL,NULL,NULL,NULL
madrid,1,4,55,800,800,40,0.16,128,NULL,NULL,NULL,NULL
madrid,1,4,55,1100,800,40,0.215,172,NULL,NULL,NULL,NULL
madrid,1,4,55,1300,800,40,0.29,232,NULL,NULL,NULL,NULL
madrid,1,4,55,1500,800,40,0.51875,415,NULL,NULL,NULL,NULL
madrid,1,4,55,2000,800,40,0.70125,561,NULL,NULL,NULL,NULL
madrid,1,4,55,2500,800,40,0.825,660,NULL,NULL,NULL,NULL
madrid,1,4,55,3000,800,40,0.8275,662,NULL,NULL,NULL,NULL
madrid,1,4,55,3500,800,40,0.83625,669,NULL,NULL,NULL,NULL
madrid,1,4,65,100,800,40,0.00125,1,NULL,NULL,NULL,NULL
madrid,1,4,65,200,800,40,0.005,4,NULL,NULL,NULL,NULL
madrid,1,4,65,400,800,40,0.0325,26,NULL,NULL,NULL,NULL
madrid,1,4,65,600,800,40,0.08625,69,NULL,NULL,NULL,NULL
madrid,1,4,65,800,800,40,0.1475,118,NULL,NULL,NULL,NULL
madrid,1,4,65,1100,800,40,0.18125,145,NULL,NULL,NULL,NULL
madrid,1,4,65,1300,800,40,0.24875,199,NULL,NULL,NULL,NULL
madrid,1,4,65,1500,800,40,0.39125,313,NULL,NULL,NULL,NULL
madrid,1,4,65,2000,800,40,0.645,516,NULL,NULL,NULL,NULL
madrid,1,4,65,2500,800,40,0.76,608,NULL,NULL,NULL,NULL
madrid,1,4,65,3000,800,40,0.82125,657,NULL,NULL,NULL,NULL
madrid,1,4,65,3500,800,40,0.79625,637,NULL,NULL,NULL,NULL
madrid,1,4,75,100,800,40,0.005,4,NULL,NULL,NULL,NULL
madrid,1,4,75,200,800,40,0.0025,2,NULL,NULL,NULL,NULL
madrid,1,4,75,400,800,40,0.01125,9,NULL,NULL,NULL,NULL
madrid,1,4,75,600,800,40,0.045,36,NULL,NULL,NULL,NULL
madrid,1,4,75,800,800,40,0.0725,58,NULL,NULL,NULL,NULL
madrid,1,4,75,1100,800,40,0.15625,125,NULL,NULL,NULL,NULL
madrid,1,4,75,1300,800,40,0.1925,154,NULL,NULL,NULL,NULL
madrid,1,4,75,1500,800,40,0.3325,266,NULL,NULL,NULL,NULL
madrid,1,4,75,2000,800,40,0.58,464,NULL,NULL,NULL,NULL
madrid,1,4,75,2500,800,40,0.705,564,NULL,NULL,NULL,NULL
madrid,1,4,75,3000,800,40,0.8175,654,NULL,NULL,NULL,NULL
madrid,1,4,75,3500,800,40,0.83625,669,NULL,NULL,NULL,NULL
madrid,1,4,85,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
madrid,1,4,85,200,800,40,0.005,4,NULL,NULL,NULL,NULL
madrid,1,4,85,400,800,40,0.015,12,NULL,NULL,NULL,NULL
madrid,1,4,85,600,800,40,0.0475,38,NULL,NULL,NULL,NULL
madrid,1,4,85,800,800,40,0.0875,70,NULL,NULL,NULL,NULL
madrid,1,4,85,1100,800,40,0.135,108,NULL,NULL,NULL,NULL
madrid,1,4,85,1300,800,40,0.20625,165,NULL,NULL,NULL,NULL
madrid,1,4,85,1500,800,40,0.33,264,NULL,NULL,NULL,NULL
madrid,1,4,85,2000,800,40,0.5575,446,NULL,NULL,NULL,NULL
madrid,1,4,85,2500,800,40,0.69375,555,NULL,NULL,NULL,NULL
madrid,1,4,85,3000,800,40,0.785,628,NULL,NULL,NULL,NULL
madrid,1,4,85,3500,800,40,0.82125,657,NULL,NULL,NULL,NULL
madrid,1,4,105,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
madrid,1,4,105,200,800,40,0.005,4,NULL,NULL,NULL,NULL
madrid,1,4,105,400,800,40,0.01125,9,NULL,NULL,NULL,NULL
madrid,1,4,105,600,800,40,0.03,24,NULL,NULL,NULL,NULL
madrid,1,4,105,800,800,40,0.0725,58,NULL,NULL,NULL,NULL
madrid,1,4,105,1100,800,40,0.11,88,NULL,NULL,NULL,NULL
madrid,1,4,105,1300,800,40,0.165,132,NULL,NULL,NULL,NULL
madrid,1,4,105,1500,800,40,0.3125,250,NULL,NULL,NULL,NULL
madrid,1,4,105,2000,800,40,0.54375,435,NULL,NULL,NULL,NULL
madrid,1,4,105,2500,800,40,0.6875,550,NULL,NULL,NULL,NULL
madrid,1,4,105,3000,800,40,0.78875,631,NULL,NULL,NULL,NULL
madrid,1,4,105,3500,800,40,0.8375,670,NULL,NULL,NULL,NULL
melbourne,1,4,25,100,800,40,0.01375,11,NULL,NULL,NULL,NULL
melbourne,1,4,25,200,800,40,0.20375,163,NULL,NULL,NULL,NULL
melbourne,1,4,25,400,800,40,0.76875,615,NULL,NULL,NULL,NULL
melbourne,1,4,25,600,800,40,0.79375,635,NULL,NULL,NULL,NULL
melbourne,1,4,25,800,800,40,0.6475,518,NULL,NULL,NULL,NULL
melbourne,1,4,25,1100,800,40,0.40625,325,NULL,NULL,NULL,NULL
