cityname,i_o_length,prediction_horizon,grid_size,thresh,config_cx_sample_whole_data,CSR_MP_no_thresh_mean,CSR_MP_no_thresh_median,CSR_MP_count_y_exceeding_r_x,CSR_MP_sum_y_exceeding_r_x_max,CSR_MP_sum_y_exceeding_r_x_mean,CSR_MP_sum_exp_y_exceeding_r_x_mean,CSR_MP_no_thresh_frac_mean_2,CSR_MP_no_thresh_frac_mean_2_exp,CSR_MP_no_thresh_frac_sum,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_median,CSR_PM_count_y_exceeding_r_x,CSR_PM_sum_y_exceeding_r_x_max,CSR_PM_sum_y_exceeding_r_x_mean,CSR_PM_sum_exp_y_exceeding_r_x_mean,CSR_PM_no_thresh_frac_mean_2,CSR_PM_no_thresh_frac_mean_2_exp,CSR_PM_no_thresh_frac_sum,CSR_NM_no_thresh_mean,CSR_NM_no_thresh_median,CSR_NM_count_y_exceeding_r_x,CSR_NM_sum_y_exceeding_r_x_max,CSR_NM_sum_y_exceeding_r_x_mean,CSR_NM_sum_exp_y_exceeding_r_x_mean,CSR_NM_no_thresh_frac_mean_2,CSR_NM_no_thresh_frac_mean_2_exp,CSR_NM_no_thresh_frac_sum,CSR_GB_no_thresh_mean,CSR_GB_no_thresh_median,CSR_GB_count_y_exceeding_r_x,CSR_GB_sum_y_exceeding_r_x_max,CSR_GB_sum_y_exceeding_r_x_mean,CSR_GB_sum_exp_y_exceeding_r_x_mean,CSR_GB_no_thresh_frac_mean_2,CSR_GB_no_thresh_frac_mean_2_exp,CSR_GB_no_thresh_frac_sum
madrid,4,1,65,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4804.507333604284,2639.729838709677,4.781666666666666,14936026.679026833,8420.664441375658,0.0007529208100094395,1.2508451510281229,0.3723548409935273,1.0981828317777702,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,65,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,714.483229733931,692.0403225806451,4.538333333333333,1823632.2920930306,932.5710118392133,0.0027664093314807947,1.0955904776316567,0.366127027424343,1.036876474874105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,65,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1267.1499487653384,1182.1532258064517,4.424333333333333,2579428.993382276,1545.8995489160095,0.002833021569476183,1.0618160562374888,0.36940607501311545,1.0167409609083327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,75,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5688.922577191072,3141.3024193548385,3.9976666666666665,20681180.510815494,10279.024622845298,0.0005993551482084267,1.3524298096378329,0.3714236965780842,1.117308386992736,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,75,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,763.5519034278939,745.0322580645161,4.697666666666667,1802251.2235524952,924.754548160093,0.0038496589326900217,1.0573887178773347,0.3659570908224696,1.018419865080579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,75,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1230.898995939354,1162.6209677419356,4.304333333333333,2674017.291975366,1463.1493135277574,0.003201452896422605,1.0537086707375565,0.3698919850644852,1.011840065514433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,85,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6050.19592704088,3700.637096774193,4.063,21770003.26841123,10630.687012766142,0.0008396506690428698,1.2917811479687773,0.37412038825054483,1.0971766637115137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,85,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,871.146347489271,830.2016129032259,5.152333333333333,2126193.595427814,1046.369115305467,0.00492068311458921,1.0386626479387835,0.3673052099268795,1.013265330304995,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,85,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1379.867592608729,1264.3898356664638,3.936,2789963.1822529268,1667.331264198366,0.0023821829260366914,1.0541310766721894,0.37210834338171433,1.0092350838316437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,95,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9494.2368958843,5571.569124423963,4.254,36934929.702333674,18508.71309138635,0.000523518945108193,1.7209621108617552,0.3823405720137076,1.2175815911763659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,95,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,849.4216067222428,809.4596774193549,4.647,2024404.244896404,1038.7558253948127,0.003949406915015586,1.0508169928120876,0.3677171367064381,1.0164687077180137,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,95,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1315.6996364326224,1241.0282258064517,4.197,2591747.074197403,1568.4127469812179,0.00282155512983566,1.0475401583321409,0.37112105767953546,1.0069309461167368,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,105,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8369.961942424798,4622.137096774193,3.800333333333333,34620723.841592066,17309.362814911754,0.0004950180906381738,1.798958029607965,0.3828581035493864,1.2473370459246098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,105,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,889.2122048876533,835.7258064516129,4.761,1973377.2999201557,1064.7810789523628,0.004994366838269022,1.0338633366496224,0.36838590941871363,1.0096770370822397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,105,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1395.5354212473517,1323.8326612903224,4.499333333333333,2934262.7590236245,1688.6619254755049,0.0025142535344703596,1.0515760711873987,0.36822359049397513,1.0148265600132382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,1,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2119.7729703677787,1730.9233870967741,2.7053333333333334,7977279.494825706,3452.0512175626654,0.0009892871144114048,1.233448610942003,0.3715884530394143,1.0389836311184828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,2,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2577.894086923714,2192.354838709677,3.559,8847427.401119377,4069.5932745854434,0.001059741374951446,1.2209335663154903,0.37216930372666607,1.0600939805743925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,3,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2827.3924322277326,2416.7741935483873,4.211666666666667,9116258.028593352,4311.641239697128,0.0009529186881501624,1.2482909903210992,0.3707206044000308,1.0817894131243457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,4,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3123.5656583860614,2701.9415322580644,5.282,9547569.823278498,4662.2702508165785,0.0010713725539647546,1.3110670536036235,0.3675889193648213,1.1277379337220925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,5,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3352.4564515175944,2897.258064516129,5.934,9812223.848919377,4882.694900703881,0.0009779195306096878,1.309642575643038,0.3736958706410041,1.127180673828621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,6,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3565.751364970279,3041.144265232975,7.2603333333333335,10340285.741256848,5056.021240230664,0.0006815504999664304,1.4092175135026883,0.3668261495146999,1.2058656484880428,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,7,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3837.816131370944,3180.5806451612907,8.446,11278150.282239959,5277.437868152491,0.0007071607891173819,1.468845856825256,0.36472033145238325,1.2536233428580785,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
madrid,8,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3988.401359236336,3299.9050586510266,9.012333333333334,11217791.019976815,5290.7675051899805,0.000715304697313106,1.5086689134557054,0.3649196905648585,1.2711761249109494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,1,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,469.33275505240726,452.1036731350806,2.367,1419388.8928213269,679.8627976518868,0.003697448442414353,1.0918339520404423,0.3704492544116919,1.0128648887963743,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,2,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,550.2891699250159,537.5383064516129,3.167333333333333,1542034.0934877272,762.1666158990189,0.0032280797855069564,1.087373491332239,0.3692710920709448,1.0202485567295394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,3,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,600.4889315036088,584.7177419354839,3.7903333333333333,1578271.9944096226,802.3747986038866,0.0032873012863674127,1.0945182266595153,0.365816864595221,1.0330177146145378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,4,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,649.4318452814833,634.3125,4.756,1692643.622221624,841.5992108830847,0.0031908055778483266,1.1030149576902852,0.3645353521471579,1.0414102358506307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,5,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,688.4605170482993,677.5683179723502,5.640666666666666,1801410.8325754171,868.7801337881392,0.00292835026080301,1.1135966422879782,0.3618044719900297,1.0547754349266807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,6,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,727.56611840394,717.0149769585253,6.105666666666667,1786137.4294810654,904.5800718156164,0.0027701878218208647,1.1069548850775424,0.36593843901113043,1.049318380833479,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,7,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,767.1540012430041,756.9223502304147,6.974,1781029.081101333,922.407779019738,0.0030863427456981635,1.1095096781697174,0.36752961819285085,1.0535007709994064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
melbourne,8,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,804.5821590357516,788.7056451612904,8.143,1882710.225123993,950.9063416297041,0.0026864130367188974,1.122200987999043,0.3676028205509393,1.0637851831112597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,1,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,865.4346521937192,847.025293255132,3.2176666666666667,1891530.2073316104,1111.0802753960982,0.0032866208654245667,1.0889217574140468,0.36838938856139,1.013531396413429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,2,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,973.04292462787,940.1209677419355,3.659,1994196.648435612,1210.446745576072,0.003756509225630894,1.0760585183708866,0.3684253133111447,1.0175792149962917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,3,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1051.2202648769396,1012.215307364577,4.110666666666667,2064514.4836641187,1274.517536880473,0.002774448735415471,1.066431496797783,0.36949826010314035,1.015118972631886,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,4,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1106.776569959331,1057.1935483870966,4.574333333333334,2171455.9485989613,1311.2753391293531,0.0029950495827415088,1.0650647627748582,0.36952738913564975,1.016658522076687,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,5,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1157.8654348220887,1100.3467741935483,5.453333333333333,2228075.5379269235,1336.3716761395024,0.0031241585897383633,1.0653356483712138,0.36890224749365047,1.0223332070573468,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,6,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1194.8149035810138,1132.1774193548388,5.349333333333333,2290776.9988723313,1358.835489177207,0.003626549858126056,1.0543438662494573,0.3729281090834036,1.0098681174810136,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
london,7,1,55,100,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1225.115957967634,1161.467741935484,6.105,2279692.659576484,1343.7516455190346,0.00282611936826137,1.0678050986684997,0.37000140333944137,1.0219782356649956,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
