cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,CSR_PM_no_thresh_frac_median,CSR_PM_no_thresh_frac_mean
london,4,6,55,1300,800,40,0.415,332,NULL,NULL,NULL,NULL
london,4,6,55,1500,800,40,0.685,548,NULL,NULL,NULL,NULL
london,4,6,55,2000,800,40,0.89125,713,NULL,NULL,NULL,NULL
london,4,6,55,2500,800,40,0.915,732,NULL,NULL,NULL,NULL
london,4,6,55,3000,800,40,0.9425,754,NULL,NULL,NULL,NULL
london,4,6,55,3500,800,40,0.91125,729,NULL,NULL,NULL,NULL
london,4,7,55,100,800,40,0.01375,11,NULL,NULL,NULL,NULL
london,4,7,55,200,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,7,55,400,800,40,0.025,20,NULL,NULL,NULL,NULL
london,4,7,55,600,800,40,0.04625,37,NULL,NULL,NULL,NULL
london,4,7,55,800,800,40,0.06875,55,NULL,NULL,NULL,NULL
london,4,7,55,1100,800,40,0.145,116,NULL,NULL,NULL,NULL
london,4,7,55,1300,800,40,0.41125,329,NULL,NULL,NULL,NULL
london,4,7,55,1500,800,40,0.6975,558,NULL,NULL,NULL,NULL
london,4,7,55,2000,800,40,0.86125,689,NULL,NULL,NULL,NULL
london,4,7,55,2500,800,40,0.93875,751,NULL,NULL,NULL,NULL
london,4,7,55,3000,800,40,0.9275,742,NULL,NULL,NULL,NULL
london,4,7,55,3500,800,40,0.92375,739,NULL,NULL,NULL,NULL
london,4,8,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,8,55,200,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,4,8,55,400,800,40,0.02625,21,NULL,NULL,NULL,NULL
london,4,8,55,600,800,40,0.05125,41,NULL,NULL,NULL,NULL
london,4,8,55,800,800,40,0.06375,51,NULL,NULL,NULL,NULL
london,4,8,55,1100,800,40,0.16375,131,NULL,NULL,NULL,NULL
london,4,8,55,1300,800,40,0.34375,275,NULL,NULL,NULL,NULL
london,4,8,55,1500,800,40,0.68125,545,NULL,NULL,NULL,NULL
london,4,8,55,2000,800,40,0.865,692,NULL,NULL,NULL,NULL
london,4,8,55,2500,800,40,0.93875,751,NULL,NULL,NULL,NULL
london,4,8,55,3000,800,40,0.92125,737,NULL,NULL,NULL,NULL
london,4,8,55,3500,800,40,0.92,736,NULL,NULL,NULL,NULL
london,4,1,65,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,4,1,65,200,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,1,65,400,800,40,0.025,20,NULL,NULL,NULL,NULL
london,4,1,65,600,800,40,0.03125,25,NULL,NULL,NULL,NULL
london,4,1,65,800,800,40,0.04875,39,NULL,NULL,NULL,NULL
london,4,1,65,1100,800,40,0.1575,126,NULL,NULL,NULL,NULL
london,4,1,65,1300,800,40,0.35,280,NULL,NULL,NULL,NULL
london,4,1,65,1500,800,40,0.62625,501,NULL,NULL,NULL,NULL
london,4,1,65,2000,800,40,0.81875,655,NULL,NULL,NULL,NULL
london,4,1,65,2500,800,40,0.88625,709,NULL,NULL,NULL,NULL
london,4,1,65,3000,800,40,0.89625,717,NULL,NULL,NULL,NULL
london,4,1,65,3500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.04375,35,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.0575,46,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.165,132,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.3925,314,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.66,528,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.845,676,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.89125,713,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.90875,727,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.87625,701,NULL,NULL,NULL,NULL
london,4,2,55,100,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,4,2,55,200,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,2,55,400,800,40,0.02875,23,NULL,NULL,NULL,NULL
london,4,2,55,600,800,40,0.045,36,NULL,NULL,NULL,NULL
london,4,2,55,800,800,40,0.055,44,NULL,NULL,NULL,NULL
london,4,2,55,1100,800,40,0.1775,142,NULL,NULL,NULL,NULL
london,4,2,55,1300,800,40,0.42125,337,NULL,NULL,NULL,NULL
london,4,2,55,1500,800,40,0.64125,513,NULL,NULL,NULL,NULL
london,4,2,55,2000,800,40,0.83125,665,NULL,NULL,NULL,NULL
london,4,2,55,2500,800,40,0.88375,707,NULL,NULL,NULL,NULL
london,4,2,55,3000,800,40,0.92125,737,NULL,NULL,NULL,NULL
london,4,2,55,3500,800,40,0.8825,706,NULL,NULL,NULL,NULL
london,4,3,55,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
london,4,3,55,200,800,40,0.01625,13,NULL,NULL,NULL,NULL
london,4,3,55,400,800,40,0.02125,17,NULL,NULL,NULL,NULL
london,4,3,55,600,800,40,0.04375,35,NULL,NULL,NULL,NULL
london,4,3,55,800,800,40,0.06625,53,NULL,NULL,NULL,NULL
london,4,3,55,1100,800,40,0.1725,138,NULL,NULL,NULL,NULL
london,4,3,55,1300,800,40,0.38875,311,NULL,NULL,NULL,NULL
london,4,3,55,1500,800,40,0.64125,513,NULL,NULL,NULL,NULL
london,4,3,55,2000,800,40,0.85625,685,NULL,NULL,NULL,NULL
london,4,3,55,2500,800,40,0.90625,725,NULL,NULL,NULL,NULL
london,4,3,55,3000,800,40,0.9225,738,NULL,NULL,NULL,NULL
london,4,3,55,3500,800,40,0.90375,723,NULL,NULL,NULL,NULL
london,4,4,55,100,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,4,55,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
london,4,4,55,400,800,40,0.0275,22,NULL,NULL,NULL,NULL
london,4,4,55,600,800,40,0.02625,21,NULL,NULL,NULL,NULL
