epoch,CSR_GB_count,CSR_GB_sum,CSR_MP_count,CSR_MP_std,CSR_MP_sum,CSR_NM_count,CSR_NM_sum,CSR_PM_count,CSR_PM_std,CSR_PM_sum,loss,naive-model-mse,naive-model-non-zero,non_zero_mse,val_loss,val_non_zero_mse
0,-1,9999,9030,1630.7172938980743,628.2317500429428,-1,0,9030,2727.9647103244247,1554.255980066445,466.6104736328125,1165.6014090099945,3428.0741207971587,1402.7589111328125,738.2474365234375,2224.939453125
1,-1,9999,9030,1700.985728885054,658.4984264383812,-1,0,9030,2727.9647103244247,1554.255980066445,463.0597839355469,1162.2744024847027,3423.4060740482455,1397.7269287109375,747.8489379882812,2281.11181640625
2,-1,9999,9030,1731.2343361041378,700.3804669302465,-1,0,9030,2727.9647103244247,1554.255980066445,462.71990966796875,1164.6438211568552,3429.888639422875,1390.154541015625,746.3331909179688,2274.89404296875
3,-1,9999,9030,1523.1218332538267,593.4339996220266,-1,0,9030,2727.964710324425,1554.255980066445,469.9332275390625,1162.2273957114435,3417.882756094299,1413.515869140625,749.48779296875,2213.78076171875
4,-1,9999,9030,1557.9932230456561,646.5608731844002,-1,0,9030,2727.9647103244247,1554.255980066445,463.86083984375,1163.586279703142,3428.2562639220864,1403.38916015625,735.6871337890625,2213.320556640625
5,-1,9999,9030,1577.7646830283124,641.1168743338085,-1,0,9030,2727.964710324425,1554.255980066445,458.5576171875,1164.9477050347955,3424.393131410581,1380.2628173828125,749.1429443359375,2264.53515625
6,-1,9999,9030,1296.2735458980055,430.3007464899111,-1,0,9030,2727.9647103244247,1554.255980066445,459.8688049316406,1165.1980266532785,3422.9695558723874,1386.21337890625,780.8718872070312,2454.514892578125
7,-1,9999,9030,1642.0193981247796,639.1663659332005,-1,0,9030,2727.9647103244247,1554.255980066445,461.5757751464844,1162.192410212356,3420.003644069464,1388.882568359375,751.6891479492188,2282.57177734375
8,-1,9999,9030,1447.8836536597075,547.4194624329656,-1,0,9030,2727.9647103244247,1554.255980066445,457.0432434082031,1164.1140483698848,3437.199970212033,1375.3704833984375,751.9622192382812,2218.867919921875
9,-1,9999,9030,1637.5195706404925,656.834925319365,-1,0,9030,2727.964710324425,1554.255980066445,464.05609130859375,1161.344397967601,3422.0052600144704,1395.3670654296875,748.6098022460938,2231.39306640625
10,-1,9999,9030,1473.1046561787286,531.789167931973,-1,0,9030,2727.9647103244247,1554.255980066445,479.0981140136719,1161.5038202602768,3411.6697024571918,1446.47998046875,735.4981079101562,2228.043701171875
11,-1,9999,9030,1267.0920107401814,452.0181242160095,-1,0,9030,2727.9647103244247,1554.255980066445,464.2105407714844,1161.584654417067,3425.1465812126885,1401.5615234375,791.2510375976562,2462.5458984375
12,-1,9999,9030,1701.0626903104853,704.477784006791,-1,0,9030,2727.9647103244247,1554.255980066445,461.5392150878906,1162.3029163011508,3418.3091595673245,1388.2901611328125,763.9024047851562,2329.944580078125
13,-1,9999,9030,1677.7521368863156,681.1713754822431,-1,0,9030,2727.9647103244247,1554.255980066445,454.0880432128906,1162.298680840571,3418.2627098543003,1368.6939697265625,761.3558959960938,2316.633056640625
14,-1,9999,9030,1669.292095481262,672.8089311433293,-1,0,9030,2727.964710324425,1554.255980066445,466.1501770019531,1161.9383949980784,3412.552116665424,1400.7012939453125,727.8361206054688,2176.6640625
15,-1,9999,9030,1640.4673572258191,650.3954153779255,-1,0,9030,2727.9647103244247,1554.255980066445,456.7774963378906,1162.234772458781,3426.616650943358,1375.2913818359375,748.4282836914062,2283.757080078125
